,RELIANCE.NS,TCS.NS,INFY.NS
0,0.013168536379771834,0.002342881681929865,0.006487837622693837
1,0.013850035211726008,0.0,0.005328753710150125
2,0.01562698380213523,0.0012121880848174893,0.002799903643689039
3,0.01830441355163942,0.004213812835716313,0.0010236828975460077
4,0.019740562277063778,0.009436198736403945,0.0
5,0.022320759971927506,0.013535987161006457,0.007240466943011836
6,0.02835735373159376,0.012657388350370224,0.008836053908126917
7,0.02903885256354788,0.02853601479447343,0.012117556162836274
8,0.02679948836634105,0.025916749962985708,0.0192075292568869
9,0.03227616540319378,0.02361473672432496,0.020005231267723467
10,0.03234924919936588,0.018693361694643196,0.02081816332010511
11,0.019594529215407275,0.03573521165926752,0.03337219966758259
12,0.02034911184353355,0.041933834620584254,0.04217806790778239
13,0.018012347428326525,0.04669246307368896,0.04235872455674061
14,0.023659508479351554,0.0533789864063704,0.03957393661494529
15,0.043229654007586826,0.08014001150521816,0.04154592971194038
16,0.04894983158944005,0.07779160312989247,0.049704589790264875
17,0.040722506476223275,0.08963104085768075,0.052323791049135315
18,0.04050352414908248,0.08089833201484525,0.049192805511317494
19,0.039821924419112475,0.09358563238122625,0.05145083067985301
20,0.03295773150049175,0.08608411569172719,0.04776275949326675
21,0.0382640926865318,0.07947932924558404,0.04162123380624666
22,0.029769118769846004,0.08376038351761622,0.039920225682688826
23,0.01053960494323597,0.08621457474372868,0.039513816826323656
24,0.009468673402640626,0.0779874129073112,0.03799351108758453
25,0.00457616224508578,0.060709321039898734,0.028826260945677584
26,0.005695793894681278,0.0538275212072315,0.02921766843980017
27,0.010637038793908205,0.05695053929377197,0.03680426437504386
28,0.007375308634418376,0.05654272749688005,0.029247671164285394
29,0.015967682769104374,0.055825129991222244,0.0273360951390052
30,0.02480352381611911,0.04677439387929372,0.0258156979285451
31,0.025777156036729976,0.04906564460976259,0.030843280997330746
32,0.01879128011095288,0.050239727598008876,0.0349376695685612
33,0.021566177343801285,0.04869874973590643,0.03605168079058635
34,0.01869391352562455,0.05214784273280054,0.03761717355949529
35,0.02271012541522477,0.06805604183454805,0.04076327479920694
36,0.020276095312705356,0.06934429467320807,0.04478235927613122
37,0.025095657204775856,0.07351908129678725,0.04324686923170745
38,0.027261937605810582,0.06632730183628749,0.038113956476200084
39,0.03300639797681992,0.06806413795557525,0.04160616384021332
40,0.03497804610521382,0.06687376576574128,0.04834980213065987
41,0.031984132912552754,0.06730567200664828,0.04478235927613122
42,0.020154378672877005,0.07841951306728473,0.04332221906187422
43,0.013703968517397525,0.06813748784248652,0.04195231570037539
44,0.0034320796429744282,0.06563418661277781,0.0397697089657974
45,0.013996101906054326,0.0618019095404399,0.04354790266549047
46,0.014799351010508777,0.06671877595182507,0.045580084154898004
47,0.02317264192003815,0.0696623219423011,0.052308675347241484
48,0.023927224548164427,0.04269758486407388,0.05172165557777858
49,0.022564159618912227,0.04271387406566157,0.050818578144359805
50,0.014166518654882831,0.03990898020774741,0.0513303166874467
51,0.008446374705701531,0.03273368386790193,0.04813907415342572
52,0.006231326930322856,0.03359788418784898,0.040567571052145646
53,0.003456396064802525,0.03911798433541169,0.04592630461885078
54,0.006912825762276975,0.037797007654276404,0.046814472161747944
55,0.01238960369714548,0.03365489639340591,0.0449479002231955
56,0.005452427880368482,0.031502200835965666,0.04684456635795414
57,0.008957524054171107,0.03131472957840731,0.043126446711022226
58,0.00832459080052933,0.036321138118758145,0.04275010918293293
59,0.0,0.03655767090014611,0.036066705020759204
60,0.004989877742883175,0.04642378820702525,0.03767740768776817
61,0.008202874160700868,0.04668470631102811,0.03867088204945679
62,0.00593922717433798,0.04662774258523783,0.03377865425980825
63,0.012413953751645557,0.05430034437117426,0.04080837035765578
64,0.01377698504822572,0.05305281453648347,0.0346216347725356
65,0.016211082416089095,0.04874766582043616,0.029879992303569358
66,0.016722265397230707,0.050981758906048225,0.030527291937165635
67,0.02344039162152295,0.06346515337398329,0.03379367848998116
68,0.022393742870083777,0.08386621484816964,0.045339216245597114
69,0.027334954136638723,0.08615761101793834,0.048003558798776824
70,0.02645865486868415,0.09175906021390628,0.036488115239367014
71,0.0299637846751587,0.08832649881743299,0.034079687693591265
72,0.026921171373497477,0.08710345126489044,0.03430546276892854
73,0.029014569774391707,0.0923300064255082,0.036382831288505835
74,0.022004276528770628,0.12678806711267404,0.0501109986466301
75,0.025947572785558537,0.12779911264574345,0.052895786588425364
76,0.042523771488460704,0.12404857245994377,0.04290069450361522
77,0.04274292197896129,0.13784475052845363,0.044661913887515614
78,0.04510390191798047,0.14909704980258548,0.04950895464699434
79,0.05530284152691928,0.13486033609470854,0.052143225871898125
80,0.039237758539814704,0.1479310144555998,0.056448182344850995
81,0.04381385351955658,0.14265549473068567,0.05571062299056634
82,0.03841019301353216,0.139736527981891,0.05134540952141031
83,0.03468604724724483,0.13955700740605997,0.04850034171548162
84,0.04298628799327403,0.12980496299006133,0.05148081053640796
85,0.04108769002838025,0.13310730773336626,0.04622745239228504
86,0.045761151593450455,0.14095128549433994,0.047777737987579116
87,0.04792746562715705,0.13474616624429475,0.046964920274848665
88,0.05187082914928881,0.13567571728965916,0.0508034395745357
89,0.050580679852849086,0.13185987485820877,0.05337749953909687
90,0.0468564668212178,0.13982611859062338,0.05495806227403904
91,0.035756945155168196,0.1417014129234065,0.05357313468236735
92,0.030499317710800278,0.14135900033169851,0.05145083067985301
93,0.024900856768775348,0.1430307766041688,0.05154099892882036
94,0.02368382490117965,0.15195085974502937,0.05042710204644646
95,0.021444527969316785,0.14414760498802498,0.05474726569301419
96,0.01438553461469555,0.14189722270082522,0.05205278320776774
97,0.016138099517932825,0.15960746320797786,0.06292099573737203
98,0.018547846831296233,0.15668835101988338,0.06511864957005314
99,0.0183531472933115,0.1430307766041688,0.06093406988192507
100,0.01691703220055918,0.1465286402462927,0.06162637360224915
101,0.01625978252508925,0.14499575850521756,0.0601211606974737
