Date,RELIANCE.NS,TCS.NS,INFY.NS
2018-01-01,401.8648376464844,1083.7716064453125,415.2442321777344
2018-01-02,402.48321533203125,1077.872314453125,413.6974182128906
2018-01-03,404.0955810546875,1080.924560546875,410.3226318359375
2018-01-04,406.5250244140625,1088.4825439453125,407.9522399902344
2018-01-05,407.8281555175781,1101.63232421875,406.58612060546875
2018-01-08,410.16937255859375,1111.9554443359375,416.2486267089844
2018-01-09,415.6468505859375,1109.7431640625,418.3779602050781
2018-01-10,416.2652282714844,1149.7249755859375,422.7571716308594
2018-01-11,414.2332763671875,1143.1297607421875,432.2188415527344
2018-01-12,419.20269775390625,1137.3333740234375,433.28338623046875
2018-01-15,419.2690124511719,1124.9415283203125,434.3682556152344
2018-01-16,407.6956481933594,1167.852294921875,451.1217956542969
2018-01-17,408.3803405761719,1183.460205078125,462.87335205078125
2018-01-18,406.260009765625,1195.4422607421875,463.11444091796875
2018-01-19,411.3841247558594,1212.2786865234375,459.3981018066406
2018-01-22,429.14166259765625,1279.6619873046875,462.0297546386719
2018-01-23,434.33203125,1273.748779296875,472.9176025390625
2018-01-24,426.8667297363281,1303.56005859375,476.4129638671875
2018-01-25,426.66802978515625,1281.5714111328125,472.234619140625
2018-01-29,426.049560546875,1313.517578125,475.24798583984375
2018-01-30,419.8211364746094,1294.6290283203125,470.3262023925781
2018-01-31,424.6360168457031,1277.9984130859375,462.1302490234375
2018-02-01,416.9278564453125,1288.7779541015625,459.8602294921875
2018-02-02,399.4794006347656,1294.95751953125,459.31787109375
2018-02-05,398.5076599121094,1274.2418212890625,457.28900146484375
2018-02-06,394.06829833984375,1230.7362060546875,445.05517578125
2018-02-07,395.084228515625,1213.4080810546875,445.5775146484375
2018-02-08,399.56781005859375,1221.271728515625,455.7019348144531
2018-02-09,396.6081848144531,1220.244873046875,445.6175537109375
2018-02-12,404.40472412109375,1218.43798828125,443.0665283203125
2018-02-14,412.42218017578125,1195.6485595703125,441.03753662109375
2018-02-15,413.3056335449219,1201.4178466796875,447.7469177246094
2018-02-16,406.966796875,1204.3741455078125,453.2109375
2018-02-19,409.48468017578125,1200.4940185546875,454.6976013183594
2018-02-20,406.8784484863281,1209.1787109375,456.7867736816406
2018-02-21,410.5226745605469,1249.2349853515625,460.98529052734375
2018-02-22,408.3140869140625,1252.478759765625,466.34881591796875
2018-02-23,412.687255859375,1262.99072265625,464.2996826171875
2018-02-26,414.65289306640625,1244.882080078125,457.4497375488281
2018-02-27,419.86529541015625,1249.25537109375,462.1101379394531
2018-02-28,421.6543273925781,1246.258056640625,471.109619140625
2018-03-01,418.9377136230469,1247.3455810546875,466.34881591796875
2018-03-05,408.2036437988281,1275.329833984375,464.4002380371094
2018-03-06,402.3506774902344,1249.4400634765625,462.57208251953125
2018-03-07,393.0301818847656,1243.1368408203125,459.65936279296875
2018-03-08,402.6157531738281,1233.4873046875,464.701416015625
2018-03-09,403.3446044921875,1245.8677978515625,467.41339111328125
2018-03-12,410.9423522949219,1253.279541015625,476.3927917480469
2018-03-13,411.6270446777344,1185.38330078125,475.6094055175781
2018-03-14,410.3902282714844,1185.42431640625,474.40423583984375
2018-03-15,402.7703857421875,1178.3616943359375,475.087158203125
2018-03-16,397.5800476074219,1160.2945556640625,470.8283996582031
2018-03-19,395.5701599121094,1162.4705810546875,460.72412109375
2018-03-20,393.05224609375,1176.3699951171875,467.87542724609375
2018-03-21,396.18853759765625,1173.0438232421875,469.0606994628906
2018-03-22,401.1580505371094,1162.6141357421875,466.5697326660156
2018-03-23,394.8634033203125,1157.1937255859375,469.1008605957031
2018-03-26,398.0438537597656,1156.7216796875,464.13897705078125
2018-03-27,397.46954345703125,1169.32763671875,463.6367492675781
2018-03-28,389.9159851074219,1169.9232177734375,454.7176513671875
2018-04-02,394.4436950683594,1194.7657470703125,456.8671569824219
2018-04-03,397.3591003417969,1195.4227294921875,458.1929626464844
2018-04-04,395.30511474609375,1195.279296875,451.6642150878906
2018-04-05,401.1801452636719,1214.5986328125,461.04547119140625
2018-04-06,402.41693115234375,1211.4573974609375,452.7891845703125
2018-04-09,404.6255798339844,1200.6171875,446.4613952636719
2018-04-10,405.08941650390625,1206.2425537109375,447.3252258300781
2018-04-11,411.185302734375,1237.67529296875,451.68426513671875
2018-04-12,410.235595703125,1289.04443359375,467.0919494628906
2018-04-13,414.7191467285156,1294.8140869140625,470.6475524902344
